YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2024,ALABAMA,AUTAUGA,01,000,99768.47,0.87284,0.94716,22.67,9492.96,0.87066,0.90321,354.08,21672.04,0.81434,1.03373,81.75,12295.8,1.05149,1.04301,2608.75
2024,ALABAMA,BALDWIN,01,010,82857,0.92614,0.96378,87.33,11281.17,0.90201,0.90529,1165.25,25855.75,0.96044,1.01298,368.83,12935.77,0.99511,1.00633,18063.75
2024,ALABAMA,BARBOUR,01,020,69009.3,0.87169,1.01932,14.75,17029.83,0.95669,0.95023,178.75,20460.61,0.95206,1.03265,115.92,14608.23,1.02842,1.05332,1217.92
2024,ALABAMA,BIBB,01,030,80704.82,1.07887,0.93947,9.25,7812.81,0.79991,0.92747,179.92,22960.82,1.09573,1.06421,108.33,11230.36,1.06663,1.08045,809.75
2024,ALABAMA,BLOUNT,01,040,75905.35,0.96364,0.97148,17.83,11737.26,0.91847,0.91972,308.58,25246.71,0.98817,1.02623,135.75,13786.28,1.12247,1.06355,2390.33
2024,ALABAMA,BULLOCK,01,050,*,*,*,*,10542.33,0.94757,0.9791,49.92,19342.09,1.13534,1.11485,68.67,11705.32,0.99149,1.04877,220.58
2024,ALABAMA,BUTLER,01,060,51255.56,0.88403,1.00731,10.75,6529.33,0.83485,0.93841,160.33,20881.15,0.93958,1.05669,81.75,12255.58,1.05332,1.1026,908.67
2024,ALABAMA,CALHOUN,01,070,93220.77,1.04015,1.01238,66.58,11265.96,0.91319,0.94499,1079.67,20381.6,1.02735,1.02724,375.5,12840.59,1.12734,1.0618,7483.42
2024,ALABAMA,CHAMBERS,01,080,104437.71,0.93789,1.02934,21.75,10608.87,1.07409,0.97383,333.75,19858.66,1.02668,1.04618,211.75,11876.35,1.07228,1.1219,1601.67
2024,ALABAMA,CHEROKEE,01,090,69147.4,0.96222,0.99289,19.08,11141.56,0.93861,0.96828,269.67,21294.67,0.90034,1.04577,137.42,12791.45,1.09892,1.05853,1875.25
2024,ALABAMA,CHILTON,01,100,67003.12,0.89415,0.96241,11.25,13750.64,0.92217,0.89648,261.25,12379.86,0.98116,0.94668,77.75,13743.59,1.04818,1.05016,1571
2024,ALABAMA,CHOCTAW,01,110,95224.65,0.82457,1.03304,14.25,13345.85,0.8419,0.97339,183,18948.45,0.99498,1.0532,128,14958.33,1.06717,1.14078,984.42
2024,ALABAMA,CLARKE,01,120,45538.77,0.88036,1.00608,10.17,10011.69,0.76335,0.94335,214.25,19390.95,0.8606,1.01873,88.25,13185.91,1.03474,1.11142,1129.92
2024,ALABAMA,CLAY,01,130,*,*,*,*,8548.13,0.77318,0.92264,122.92,14250.37,0.89432,1.06968,94.83,11504.45,0.9918,1.09135,802.5
2024,ALABAMA,CLEBURNE,01,140,*,*,*,*,13192.94,0.84962,0.99343,138.75,25346.75,0.92012,1.04004,87.75,12472.12,1.04122,1.07031,1056.33
2024,ALABAMA,COFFEE,01,150,76713.82,0.94793,0.98443,25.58,12425.52,0.9383,0.92393,422.17,17529.89,0.93285,1.05558,181.08,11791.41,1.04935,1.04287,3473.17
2024,ALABAMA,COLBERT,01,160,80479.79,1.00423,1.01813,26,11495.51,0.88448,0.97542,469.58,21132.72,0.95981,1.03268,243.67,11833.84,0.98917,1.06115,3953.67
2024,ALABAMA,CONECUH,01,170,*,*,*,*,9467.55,0.83634,0.94243,147.33,20802.02,0.92682,1.04403,97.25,13984.23,1.02584,1.12398,702.08
2024,ALABAMA,COOSA,01,180,*,*,*,*,7181.04,0.7422,0.9096,78.33,10192.71,0.83052,1.0209,24.67,13316.05,1.05727,1.06414,543.83
2024,ALABAMA,COVINGTON,01,190,82914.76,0.89337,1.01132,24.5,14061.34,0.87128,0.95852,356.67,19268.52,0.94623,1.04515,255.92,12790.09,1.12906,1.10141,2752.75
2024,ALABAMA,CRENSHAW,01,200,*,*,*,*,17013.92,0.81066,0.97666,80.42,20037.5,0.94447,1.02839,64.17,11915.9,1.05796,1.08861,628.25
2024,ALABAMA,CULLMAN,01,210,80829.02,0.96342,1.0067,34.25,16344.95,1.01427,0.95392,599.75,31125.39,1.01684,1.05695,422,13223.07,1.12561,1.07274,5480.83
2024,ALABAMA,DALE,01,220,77851.54,0.91347,0.98763,25.17,12565.88,0.85765,0.95667,405.5,20073.52,0.91735,1.05538,184.75,13245.37,1.11038,1.06332,2693.17
2024,ALABAMA,DALLAS,01,230,82332.62,1.0455,1.0724,35.08,10839.99,0.88081,1.01465,285.5,20395.66,1.09062,1.03775,276.83,11225.36,1.03291,1.11401,1209.83
2024,ALABAMA,DEKALB,01,240,85158.57,0.88755,0.99859,29.5,11541.11,0.8777,0.97039,613.33,20175.22,0.9362,1.02665,355.25,11875.42,1.02752,1.08103,4057.75
